feature,correlation_with_class,abs_correlation_with_class,feature_group,feature_category
V14_V12_interaction,0.5719066340575832,0.5719066340575832,engineered,INTERACTION
V17_V16_interaction,0.5314411979579191,0.5314411979579191,engineered,INTERACTION
V17_V12_interaction,0.5299942256118508,0.5299942256118508,engineered,INTERACTION
V17_V14_interaction,0.5282595595701044,0.5282595595701044,engineered,INTERACTION
V17_V10_interaction,0.5183056927153086,0.5183056927153086,engineered,INTERACTION
V17,-0.3134982729556793,0.3134982729556793,original,PCA
V14,-0.29337538479004244,0.29337538479004244,original,PCA
amount_V17_interaction,-0.2831876497695179,0.2831876497695179,engineered,RATIO
V12,-0.25071117720572017,0.25071117720572017,original,PCA
V10,-0.20697123823505903,0.20697123823505903,original,PCA
V16,-0.18718605284536083,0.18718605284536083,original,PCA
time_day_fraction,-0.016695697304993422,0.016695697304993422,engineered,NORMALIZED
time_normalized,-0.012359339838080659,0.012359339838080659,engineered,NORMALIZED
Time,-0.012359339838080298,0.012359339838080298,original,RAW
log_amount,-0.00779790961120431,0.00779790961120431,engineered,LOG
amount_to_median_ratio,0.005777019670480759,0.005777019670480759,engineered,RATIO
Amount,0.005777019670480672,0.005777019670480672,original,RAW
amount_to_mean_ratio,0.005777019670480614,0.005777019670480614,engineered,RATIO
